Nome originale, Soprannome, Ruolo, Sesso, Eta, Altezza, Taglia 
MMonkey D. Luffy,Straw Hat Luffy,Captain,Male,19,174,3.000.000.000 Berries
Roronoa Zoro,Pirate Hunter,First Mate,Male,21,178,1.111.080.000 Berries
Nami,Cat Burglar,Navigator,Female,20,170,366.000.000 Berries
Usopp,Sogeking,Sniper,Male,19,176,500.000.000 Berries
Sanji,Black Leg,Cook,Male,21,Unknown,1.032.000.000 Berries
Tony Tony Chopper,Cotton Candy Lover,Doctor,Male,17,Unknown,1.000 Berries
Nico Robin,Devil Child,Archaeologist,Female,30,Unknown,930.000.000 Berries
Franky,Cyborg,Shipwright,Male,36,Unknown,394.000.000 Berries
Brook,Soul King,Musician,Male,Unknown,170,383.000.000 Berries
Going Merry,caravella
Thousand Sunny,brigantino